Pais,Anho,Npatente,max,media,dif
AR,1964,3155150,1,1.0,0.0
AR,1989,4805339,1,1.0,0.0
AT,1968,3399454,1,1.0,0.0
AT,1969,3477268,1,1.0,0.0
AT,1970,3495835,1,1.0,0.0
AT,1970,3521726,1,1.0,0.0
AT,1973,3732919,1,1.0,0.0
AT,1974,3849311,1,1.0,0.0
AT,1974,3855697,1,1.0,0.0
AT,1975,3926089,1,1.0,0.0
AT,1975,3919943,1,1.0,0.0
AT,1977,4050716,1,1.0,0.0
AT,1979,4170857,1,1.0,0.0
AT,1980,4201497,1,1.0,0.0
AT,1986,4594729,1,1.0,0.0
AT,1989,4833892,1,1.0,0.0
AT,1989,4834555,1,1.0,0.0
AU,1972,3652472,1,1.0,0.0
AU,1974,3827831,1,1.0,0.0
AU,1975,3882378,1,1.0,0.0
AU,1975,3918966,1,1.0,0.0
AU,1976,3939707,1,1.0,0.0
AU,1976,3975824,1,1.0,0.0
AU,1976,3973495,1,1.0,0.0
AU,1983,4409994,1,1.0,0.0
AU,1985,4526264,1,1.0,0.0
AU,1985,4497662,1,1.0,0.0
AU,1985,4535254,1,1.0,0.0
AU,1986,4602725,1,1.0,0.0
AU,1987,4659087,1,1.0,0.0
AU,1988,4754787,1,1.0,0.0
AU,1988,4763488,1,1.0,0.0
AU,1988,4733496,1,1.0,0.0
AU,1989,4874169,1,1.0,0.0
AU,1990,4910810,1,1.0,0.0
AU,1991,5074301,1,1.0,0.0
AU,1991,5054926,1,1.0,0.0
AU,1992,5098873,1,1.0,0.0
AU,1992,5083563,1,1.0,0.0
AU,1992,5098053,1,1.0,0.0
AU,1992,5099845,1,1.0,0.0
AU,1994,5289127,1,1.0,0.0
AU,1997,5643455,1,1.0,0.0
BE,1968,3398709,1,1.0,0.0
BE,1971,3562716,1,1.0,0.0
BE,1973,3739345,1,1.0,0.0
BE,1974,3786306,1,1.0,0.0
BE,1975,3876688,1,1.0,0.0
BE,1976,3957288,1,1.0,0.0
BE,1977,4013471,1,1.0,0.0
BE,1979,4172231,1,1.0,0.0
BE,1979,4142592,1,1.0,0.0
